Dataset,User Number,Itemset Size,Dummy Item Proportion,k,Candidate Set Size,Privacy_Parameter,User Itemset Size,RE1,RE2,NDCG1,NDCG2,Start Time,Finishe Time
Random_Itemset_different_privacy_003_5e5_true_5,500000,1000,10.060128,3,6,4,50,0.13117754728492995,0.024450884685784168,0.9956018753343189,0.9963620628677508,2018-05-26 14:18:50.622757,2018-05-26 14:22:34.091541
Random_Itemset_different_privacy_003_5e5_true_5,500000,1000,10.060128,3,6,4,50,0.095596296747472373,0.011557436959434746,0.9982398124665682,0.9988597186998522,2018-05-26 14:18:50.622757,2018-05-26 14:22:41.242350
Random_Itemset_different_privacy_003_5e5_true_5,500000,1000,10.060128,3,6,4,50,0.067943720306980135,0.0085621313809233664,0.9950995311664204,0.9955791560995566,2018-05-26 14:18:50.622757,2018-05-26 14:22:48.529923
Random_Itemset_different_privacy_003_5e5_true_5,500000,1000,10.060128,3,6,4,50,0.14347058106955776,0.85724509684492634,0.9914208439004436,0.9914208439004436,2018-05-26 14:18:50.622757,2018-05-26 14:22:55.917236
Random_Itemset_different_privacy_003_5e5_true_5,500000,1000,10.060128,4,8,4,50,0.10857709038376684,0.45550933936777227,0.993528484794643,0.9946881817662627,2018-05-26 14:18:50.622757,2018-05-26 14:23:03.703091
Random_Itemset_different_privacy_003_5e5_true_5,500000,1000,10.060128,4,8,4,50,0.11261203551125565,0.46023658788390631,0.9914942423338647,0.9921330302203444,2018-05-26 14:18:50.622757,2018-05-26 14:23:11.958311
Random_Itemset_different_privacy_003_5e5_true_5,500000,1000,10.060128,4,8,4,50,0.08099450884685773,0.056702223052631021,0.9956045454257016,0.9960836363405613,2018-05-26 14:18:50.622757,2018-05-26 14:23:19.799091
Random_Itemset_different_privacy_003_5e5_true_5,500000,1000,10.060128,4,8,4,50,0.023682953076620689,0.029317204732435868,0.9974790909148596,0.9994790909148598,2018-05-26 14:18:50.622757,2018-05-26 14:23:27.350084
Random_Itemset_different_privacy_003_5e5_true_5,500000,1000,10.060128,4,8,4,50,0.072222560604214933,0.028029950655729722,0.9956045454257016,0.9970836363405613,2018-05-26 14:18:50.622757,2018-05-26 14:23:34.807986
Random_Itemset_different_privacy_003_5e5_true_5,500000,1000,10.060128,4,8,4,50,0.24204658520377226,0.90525582315047159,0.9848896969081633,0.9848896969081633,2018-05-26 14:18:50.622757,2018-05-26 14:23:42.279929
