Dataset,User Number,Itemset Size,Dummy Item Proportion,k,Candidate Set Size,Privacy_Parameter,User Itemset Size,RE1,RE2,NDCG1,NDCG2,Start Time,Finishe Time
Random_Itemset_different_privacy_050_1e5_true_3,500000,1000,0.063566,30,90,7,50,0.06050155453912999,0.073015724429242118,0.99943266054752566,0.99942974850815014,2018-05-23 21:51:36.479000,2018-05-23 22:03:38.223000
Random_Itemset_different_privacy_050_1e5_true_3,500000,1000,0.063566,30,90,8,50,0.066542533218577518,0.064534791666041674,0.99945134242874667,0.99944894906097503,2018-05-23 21:51:36.479000,2018-05-23 22:05:20.285000
Random_Itemset_different_privacy_050_1e5_true_3,500000,1000,0.063566,30,90,9,50,0.060762754244751069,0.056585511485467054,0.99945843620933128,0.99948346458091541,2018-05-23 21:51:36.479000,2018-05-23 22:07:00.574000
Random_Itemset_different_privacy_050_1e5_true_3,500000,1000,0.063566,30,90,10,50,0.055302527605008679,0.064382292411226616,0.99947420482301685,0.99941209233325279,2018-05-23 21:51:36.479000,2018-05-23 22:08:40.129000
Dataset,User Number,Itemset Size,Dummy Item Proportion,k,Candidate Set Size,Privacy_Parameter,User Itemset Size,RE1,RE2,NDCG1,NDCG2,Start Time,Finishe Time
Random_Itemset_different_privacy_050_1e5_true_2_backup,100000,1000,10.06026,1,3,3,50,0.42756682867557716,0.98491646415552858,0.97453647453253756,0.97453647453253756,2018-05-23 22:52:31.190000,2018-05-23 22:53:18.630000
Random_Itemset_different_privacy_050_1e5_true_2_backup,100000,1000,10.06026,2,6,3,50,0.31688183475091131,0.72431804374240583,0.99271119725403645,0.99280288945188033,2018-05-23 22:52:31.190000,2018-05-23 22:53:55.709000
Random_Itemset_different_privacy_050_1e5_true_2_backup,100000,1000,10.06026,3,9,3,50,0.28429759568939483,0.8659597903952081,0.99007837402611343,0.99024967571692513,2018-05-23 22:52:31.190000,2018-05-23 22:54:33.123000
Random_Itemset_different_privacy_050_1e5_true_2_backup,100000,1000,10.06026,4,12,3,50,0.31908737606279919,0.69812916406322656,0.98726275341203951,0.98752031296332776,2018-05-23 22:52:31.190000,2018-05-23 22:55:10.579000
Random_Itemset_different_privacy_050_1e5_true_2_backup,100000,1000,10.06026,5,15,3,50,0.26898229699123022,0.82856552561054997,0.9862690391113379,0.98662119444213281,2018-05-23 22:52:31.190000,2018-05-23 22:55:49.119000
Random_Itemset_different_privacy_050_1e5_true_2_backup,100000,1000,10.06026,6,18,3,50,0.34350568011079319,0.73673239872713869,0.99264406954960083,0.9834949565548039,2018-05-23 22:52:31.190000,2018-05-23 22:56:26.466000
Random_Itemset_different_privacy_050_1e5_true_2_backup,100000,1000,10.06026,7,21,3,50,0.26759668045073248,0.82221392488897727,0.99345993931536258,0.99384426266230252,2018-05-23 22:52:31.190000,2018-05-23 22:57:03.954000
Random_Itemset_different_privacy_050_1e5_true_2_backup,100000,1000,10.06026,8,24,3,50,0.25462066779617581,0.7974814545597142,0.99156218157276255,0.99156148565325564,2018-05-23 22:52:31.190000,2018-05-23 22:57:41.421000
Random_Itemset_different_privacy_050_1e5_true_2_backup,100000,1000,10.06026,9,27,3,50,0.25704591412339672,0.64502207088718799,0.98974391912748594,0.98526963030811443,2018-05-23 22:52:31.190000,2018-05-23 22:58:17.962000
Random_Itemset_different_privacy_050_1e5_true_2_backup,100000,1000,10.06026,10,30,3,50,0.28793780091520199,0.62771291295682707,0.99284508546848027,0.99339379288277629,2018-05-23 22:52:31.190000,2018-05-23 22:58:57.574000
Random_Itemset_different_privacy_050_1e5_true_2_backup,100000,1000,10.06026,11,33,3,50,0.27899859066023663,0.67640793110501674,0.99072004884178233,0.99165101471291628,2018-05-23 22:52:31.190000,2018-05-23 22:59:36.578000
Random_Itemset_different_privacy_050_1e5_true_2_backup,100000,1000,10.06026,12,36,3,50,0.30341970302083004,0.61683129873661779,0.99143994733037899,0.9811158603101976,2018-05-23 22:52:31.190000,2018-05-23 23:00:17.825000
Random_Itemset_different_privacy_050_1e5_true_2_backup,100000,1000,10.06026,13,39,3,50,0.32881646286359761,0.73147710126117471,0.98864685662184859,0.98917579354021934,2018-05-23 22:52:31.190000,2018-05-23 23:00:56.449000
Random_Itemset_different_privacy_050_1e5_true_2_backup,100000,1000,10.06026,14,42,3,50,0.32037110003519337,0.65746942695932697,0.98814003561071695,0.97800371122674046,2018-05-23 22:52:31.190000,2018-05-23 23:01:40.504000
Random_Itemset_different_privacy_050_1e5_true_2_backup,100000,1000,10.06026,15,45,3,50,0.30058480025617934,0.6371629527910414,0.98970402383906764,0.99081549908859434,2018-05-23 22:52:31.190000,2018-05-23 23:02:22.003000
Random_Itemset_different_privacy_050_1e5_true_2_backup,100000,1000,10.06026,16,48,3,50,0.278648314888643,0.65251441169960689,0.99042014227370956,0.99179699034135926,2018-05-23 22:52:31.190000,2018-05-23 23:03:12.957000
Random_Itemset_different_privacy_050_1e5_true_2_backup,100000,1000,10.06026,17,51,3,50,0.30652661788785263,0.55070022882188874,0.98936324511584617,0.9906855016452546,2018-05-23 22:52:31.190000,2018-05-23 23:03:53.605000
Random_Itemset_different_privacy_050_1e5_true_2_backup,100000,1000,10.06026,18,54,3,50,0.27862499639630178,0.6171821365048541,0.99127537439916014,0.98732802471412351,2018-05-23 22:52:31.190000,2018-05-23 23:04:23.886000
Random_Itemset_different_privacy_050_1e5_true_2_backup,100000,1000,10.06026,19,57,3,50,0.29150178918389213,0.48654120183538396,0.98874451080632242,0.98996040354744186,2018-05-23 22:52:31.190000,2018-05-23 23:04:50.600000
Random_Itemset_different_privacy_050_1e5_true_2_backup,100000,1000,10.06026,20,60,3,50,0.30295125153788682,0.52340478787255562,0.98389789355454504,0.98390753625697924,2018-05-23 22:52:31.190000,2018-05-23 23:05:16.380000
Random_Itemset_different_privacy_050_1e5_true_2_backup,100000,1000,10.06026,21,63,3,50,0.26664511027042009,0.49201998973391153,0.98906512098006572,0.98026095283199621,2018-05-23 22:52:31.190000,2018-05-23 23:05:42.876000
Random_Itemset_different_privacy_050_1e5_true_2_backup,100000,1000,10.06026,22,66,3,50,0.27964361029863694,0.48726384115323829,0.98944628794208889,0.9895591956648353,2018-05-23 22:52:31.190000,2018-05-23 23:06:09.014000
Random_Itemset_different_privacy_050_1e5_true_2_backup,100000,1000,10.06026,23,69,3,50,0.28274430374598791,0.6019641866177452,0.9847899954033611,0.98336513530045022,2018-05-23 22:52:31.190000,2018-05-23 23:06:35.682000
Random_Itemset_different_privacy_050_1e5_true_2_backup,100000,1000,10.06026,24,72,3,50,0.27919721561900435,0.51198165703318266,0.9868486480486236,0.98691167349310016,2018-05-23 22:52:31.190000,2018-05-23 23:07:01.754000
Random_Itemset_different_privacy_050_1e5_true_2_backup,100000,1000,10.06026,25,75,3,50,0.30611640872061335,0.50948784020286608,0.98581270788002284,0.98778815509820217,2018-05-23 22:52:31.190000,2018-05-23 23:07:27.441000
Random_Itemset_different_privacy_050_1e5_true_2_backup,100000,1000,10.06026,26,78,3,50,0.25582103298941961,0.43506397871205299,0.98762442827465979,0.98823035365267842,2018-05-23 22:52:31.190000,2018-05-23 23:07:54.092000
Random_Itemset_different_privacy_050_1e5_true_2_backup,100000,1000,10.06026,27,81,3,50,0.29150546695551605,0.47932689796448191,0.98729722593085734,0.98576016874092109,2018-05-23 22:52:31.190000,2018-05-23 23:08:18.964000
Random_Itemset_different_privacy_050_1e5_true_2_backup,100000,1000,10.06026,28,84,3,50,0.28451588852189663,0.47841898481272277,0.98803546354616478,0.98767525252969368,2018-05-23 22:52:31.190000,2018-05-23 23:08:45.600000
Random_Itemset_different_privacy_050_1e5_true_2_backup,100000,1000,10.06026,29,87,3,50,0.2758407289971872,0.44987074368966057,0.98644542221521658,0.98691534227134636,2018-05-23 22:52:31.190000,2018-05-23 23:09:11.801000
Random_Itemset_different_privacy_050_1e5_true_2_backup,100000,1000,10.06026,30,90,3,50,0.28737974392522936,0.41514926273818376,0.98499476490064697,0.98512257522232149,2018-05-23 22:52:31.190000,2018-05-23 23:09:38.404000
Random_Itemset_different_privacy_050_1e5_true_2_backup,100000,1000,10.06026,31,93,3,50,0.28618287362486283,0.48463672872607672,0.98564323913505325,0.98655716671000671,2018-05-23 22:52:31.190000,2018-05-23 23:10:06.348000
Random_Itemset_different_privacy_050_1e5_true_2_backup,100000,1000,10.06026,32,96,3,50,0.31591979530203224,0.50638540359138706,0.9869791804923167,0.98464253375677657,2018-05-23 22:52:31.190000,2018-05-23 23:10:32.634000
Random_Itemset_different_privacy_050_1e5_true_2_backup,100000,1000,10.06026,33,99,3,50,0.31660133437940785,0.46366785651762621,0.98614169185457912,0.98498137472030689,2018-05-23 22:52:31.190000,2018-05-23 23:10:58.927000
Random_Itemset_different_privacy_050_1e5_true_2_backup,100000,1000,10.06026,34,102,3,50,0.28923975790695511,0.50258288299465836,0.98658825175047349,0.98134077720349366,2018-05-23 22:52:31.190000,2018-05-23 23:11:24.377000
Random_Itemset_different_privacy_050_1e5_true_2_backup,100000,1000,10.06026,35,105,3,50,0.2923465460434681,0.54100728092138906,0.98230743573611345,0.98093227328687538,2018-05-23 22:52:31.190000,2018-05-23 23:11:52.978000
Random_Itemset_different_privacy_050_1e5_true_2_backup,100000,1000,10.06026,36,108,3,50,0.31576684519078368,0.50665474290604684,0.98498634207660918,0.98400390180360575,2018-05-23 22:52:31.190000,2018-05-23 23:12:23.152000
Random_Itemset_different_privacy_050_1e5_true_2_backup,100000,1000,10.06026,37,111,3,50,0.32295050161605837,0.56532414290990141,0.98578948014752221,0.98539750802228421,2018-05-23 22:52:31.190000,2018-05-23 23:12:49.291000
Random_Itemset_different_privacy_050_1e5_true_2_backup,100000,1000,10.06026,38,114,3,50,0.29921474606147913,0.47840309646044582,0.98454110443922538,0.98244560490806587,2018-05-23 22:52:31.190000,2018-05-23 23:13:16.007000
